h,C_X_h,nonzero_pair_count,conditional_mean,C_over_sqrt_support
1,605,338299,0.0017883588186781516,1.040171661457993
2,-382,338334,-0.0011290618146565228,-0.6567355732703929
3,-198,338322,-0.0005852412790182134,-0.3404082449730122
4,-515,507467,-0.0010148443149997932,-0.7229417834271951
5,59,338339,0.00017438131578091794,0.1014322317169161
6,-136,338314,-0.00040199341440200524,-0.23381852868982114
7,-626,338298,-0.0018504395532932504,-1.0762783842303878
8,-95,507471,-0.00018720281553034557,-0.1333576674787874
9,448,386630,0.0011587305692781211,0.7204937855641771
10,-687,338311,-0.002030675916538333,-1.1811326575206675
11,337,338331,0.0009960659827210631,0.5793740037117633
12,-998,507456,-0.00196667297263211,-1.4009780964336473
13,-356,338310,-0.0010522893204457451,-0.6120580022176698
14,-442,338312,-0.001306486320319705,-0.7599124644202842
15,-34,338316,-0.00010049775949112664,-0.05845445939103625
16,1571,507457,0.0030958288091404787,2.205345111124264
17,-512,338298,-0.001513458548380422,-0.8802788062714993
18,391,386621,0.0010113263376795364,0.6288311363416245
19,-1117,338327,-0.0033015396347320786,-1.9203696966979384
20,-1001,507435,-0.001972666449890134,-1.4052185297454711
21,237,338285,0.0007005926955082253,0.40748063614784125
22,493,338301,0.0014572821244985975,0.8476084516908786
23,195,338309,0.0005763961348944309,0.3352569854669907
24,-1126,507434,-0.002219007792146368,-1.5806969266614046
25,582,353008,0.0016486878484340299,0.9795592518008318
26,817,338285,0.002415123342743545,1.4046906317839085
27,593,386649,0.001533690763457296,0.9536658863198244
28,-642,507444,-0.001265164234871237,-0.9012410547613409
29,738,338294,0.002181534404985013,1.2688468744805024
30,189,338319,0.0005586443563618951,0.32493658358577937
31,-72,338316,-0.00021281878480473875,-0.12378591400454736
32,1000,507452,0.001970629734437937,1.403791200441838
33,596,338276,0.0017618749187054358,1.0247328683849464
34,-676,338286,-0.0019983091230497273,-1.1622637253143606
35,-383,338315,-0.0011320810487267783,-0.6584732657157435
36,-55,579931,-9.48388687619734e-05,-0.07222283421403883
37,490,338318,0.001448341501191187,0.8424294246900933
38,-265,338271,-0.0007833955615468072,-0.45563123664856864
39,-133,338289,-0.0003931549651333623,-0.22866921603647744
40,-847,507451,-0.0016691266742995875,-1.1890123183263288
41,-460,338286,-0.0013597961488208202,-0.7908895172257483
42,32,338290,9.459339619852789e-05,0.05501807592376248
43,262,338278,0.0007745109052317916,0.45046848632365993
44,414,507448,0.0008158471409878451,0.581171847536482
45,-1477,386611,-0.003820377588842532,-2.375436317546825
46,88,338296,0.00026012722586137585,0.151298367062573
47,-702,338286,-0.0020751671662439476,-1.2069661762879897
48,-35,507407,-6.897815757370317e-05,-0.04913487066310046
49,220,345490,0.0006367767518596775,0.3742871697094747
50,295,353003,0.0008356869488361289,0.49651550822371904
51,-635,338285,-0.0018771154499903928,-1.0917730124636253
52,536,507444,0.0010562741898613444,0.7524380145671008
53,-613,338311,-0.0018119422661397352,-1.0539073057644386
54,179,386607,0.00046300248055518913,0.28788442823358623
55,-365,338305,-0.001078908085898819,-0.6275360159808112
56,645,507453,0.0012710536739363055,0.9054444321375648
57,-146,338268,-0.0004316104390601535,-0.25102813408616653
58,888,338280,0.002625044341965236,1.5267741731065305
59,-308,338300,-0.0009104345255690216,-0.5295411540902734
60,-1898,507428,-0.003740432140126284,-2.6644587071222716
61,-708,338278,-0.002092953133221788,-1.2172965202944703
62,307,338293,0.0009074973469743683,0.5278273254778793
63,-163,386619,-0.00042160369769721613,-0.2621476735060722
64,1156,507442,0.0022780928657856465,1.6227986174655828
